"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 26 10:34:26 CST 2023","Mon Jun 26 10:34:30 CST 2023","4119","testsuites.logmanager","apply_epplog_test","TestCaseApplyEpplog","","","重新申请","TestCase ID: bde79205-9671-4631-951a-4086cf9b6966"
"passed","Mon Jun 26 10:35:23 CST 2023","Mon Jun 26 10:35:26 CST 2023","2468","testsuites.prefixmanager","prefix_manager_query_test","TestCasePrefixManagerQuery","","","前缀管理列表","TestCase ID: fa4e5336-1c72-4f23-aa5d-540a93f3913a"
"passed","Mon Jun 26 10:34:47 CST 2023","Mon Jun 26 10:34:50 CST 2023","2933","testsuites.prefixAudit","prefix_audit_pageQuery_auditState_no_pass_test","TestCasePrefixAuditPagequeryAuditstateNoPass","","","前缀审核列表-查询驳回状态","TestCase ID: 656836ac-ffa3-4217-ba45-8bed1a6c4621"
"passed","Mon Jun 26 10:32:51 CST 2023","Mon Jun 26 10:32:52 CST 2023","1100","testsuites.entapply","register_test","TestCaseRegister","","","企业注册信息用例集","TestCase ID: 4b76f2ae-f801-45eb-ae85-e262025dc57a"
"passed","Mon Jun 26 10:36:25 CST 2023","Mon Jun 26 10:36:29 CST 2023","3570","testsuites.template","test_template_detail_test","TestCaseTestTemplateDetail","","","托管标识详情-5","TestCase ID: 9385cba3-0723-408f-bde2-905803af8c3d"
"passed","Mon Jun 26 10:34:19 CST 2023","Mon Jun 26 10:34:21 CST 2023","1861","testsuites.homepage","ent_applying_test","TestCaseEntApplying","","","首页-数据汇总-企业申请中","TestCase ID: 61595bf0-ac3e-47e2-a8e3-226b30bcea9b"
"passed","Mon Jun 26 10:36:21 CST 2023","Mon Jun 26 10:36:24 CST 2023","3414","testsuites.template","test_template_delete_noupload_test","TestCaseTestTemplateDeleteNoupload","","","数据模板删除","TestCase ID: 6e7161d4-6abb-4261-8fc1-d0b6de7f9284"
"passed","Mon Jun 26 10:34:55 CST 2023","Mon Jun 26 10:34:58 CST 2023","2678","testsuites.prefixAudit","prefix_audit_pageQuery_orgName_test","TestCasePrefixAuditPagequeryOrgname","","","前缀审核列表-企业名称查询","TestCase ID: 3e431046-caad-49c4-bfa3-edc4ea1c73e1"
"passed","Mon Jun 26 10:36:50 CST 2023","Mon Jun 26 10:36:51 CST 2023","343","testsuites.uploadfile","test_upload_xml_test","TestCaseTestUploadXml","","","xml上传","TestCase ID: 686c92bd-ca31-4102-89bd-c7c4e52b56bf"
"passed","Mon Jun 26 10:36:30 CST 2023","Mon Jun 26 10:36:34 CST 2023","4242","testsuites.template","test_template_download_excel_test","TestCaseTestTemplateDownloadExcel","","","excel下载","TestCase ID: 272fe7c5-72a7-41cb-a7e4-3e9478537407"
"passed","Mon Jun 26 10:35:53 CST 2023","Mon Jun 26 10:35:57 CST 2023","3503","testsuites.proxyAudit","proxyserverauditcancel_test","TestCaseProxyserverauditcancel","","","托管审核取消用例集","TestCase ID: 21e4b8eb-fde5-4823-b3d1-e878ffee600c"
"passed","Mon Jun 26 10:31:43 CST 2023","Mon Jun 26 10:31:46 CST 2023","3253","testsuites.applyRecord","entApply_ent_test","TestCaseEntapplyEnt","","","申请记录分页-ent-35,36","TestCase ID: 545e709b-54ec-480d-8756-95588979934e"
"passed","Mon Jun 26 10:31:47 CST 2023","Mon Jun 26 10:31:50 CST 2023","2791","testsuites.applyRecord","entApply_admin_test","TestCaseEntapplyAdmin","","","申请记录分页-admin","TestCase ID: 96578b3a-9779-4cb4-825b-127f14c835fa"
"passed","Mon Jun 26 10:34:42 CST 2023","Mon Jun 26 10:34:46 CST 2023","4224","testsuites.prefixAlloc","prefixAllocPage_test","TestCasePrefixallocpage","","","前缀分配用例集-40,41","TestCase ID: 1e1d0db7-c9ab-49a2-8b39-6ebf8baca097"
"passed","Mon Jun 26 10:33:06 CST 2023","Mon Jun 26 10:33:09 CST 2023","3055","testsuites.entBusiness","entBusinessOpe_test","TestCaseEntbusinessope","","","添加标识业务数据-ent-37,38","TestCase ID: ab8d8949-0436-48ac-a364-ee7fbc0172cd"
"passed","Mon Jun 26 10:36:03 CST 2023","Mon Jun 26 10:36:07 CST 2023","3710","testsuites.proxyAudit","test_proxyserver_audit_cancle_ent_test","TestCaseTestProxyserverAuditCancleEnt","","","托管审核取消,企业登录系统查看托管配置","TestCase ID: e3654360-a51b-4418-b226-19c7eac4323b"
"passed","Mon Jun 26 10:35:37 CST 2023","Mon Jun 26 10:35:42 CST 2023","4738","testsuites.prefixmanager","prefix_proxy_delete_test","TestCasePrefixProxyDelete","","","前缀删除后注册和解析标识","TestCase ID: 7b238d6c-f04b-4644-b047-abe015594a70"
"passed","Mon Jun 26 10:35:58 CST 2023","Mon Jun 26 10:36:02 CST 2023","3846","testsuites.proxyAudit","proxyserverauditcancel_ent_test","TestCaseProxyserverauditcancelEnt","","","托管审核取消,企业登录系统查看托管配置","TestCase ID: 2330ec77-cfc0-4d67-b4b6-d5880e67da12"
